품목명,forecast_week_start,model_used,y_hat
새송이(일반),2025-07-07,HW-Add,2209.6176652477625
새송이(일반),2025-07-14,HW-Add,2183.4451258107138
새송이(일반),2025-07-21,HW-Add,2284.250880202929
새송이(일반),2025-07-28,HW-Add,2497.1760286265458
수미,2025-07-07,HW-Add,945.2776139816847
수미,2025-07-14,HW-Add,1028.8121766963034
수미,2025-07-21,HW-Add,1070.058634639739
수미,2025-07-28,HW-Add,1154.9575742231532
시금치(일반),2025-07-07,HW-Mul,6233.407062893862
시금치(일반),2025-07-14,HW-Mul,7125.602406974409
시금치(일반),2025-07-21,HW-Mul,9354.138468904166
시금치(일반),2025-07-28,HW-Mul,13126.85164740172
쑥갓(일반),2023-11-27,HW-Add,2052.77796911746
쑥갓(일반),2023-12-04,HW-Add,2163.970309128952
쑥갓(일반),2023-12-11,HW-Add,3085.835218301805
쑥갓(일반),2023-12-18,HW-Add,3566.7317220397003
애호박,2025-07-07,HW-Add,1867.1029671788078
애호박,2025-07-14,HW-Add,1975.1581956011926
애호박,2025-07-21,HW-Add,2717.0112017426427
애호박,2025-07-28,HW-Add,2534.981106706336
양배추(일반),2025-07-07,HW-Mul,359.7744498919864
양배추(일반),2025-07-14,HW-Mul,390.35244011680436
양배추(일반),2025-07-21,HW-Mul,523.4254586722967
양배추(일반),2025-07-28,HW-Mul,637.699513283931
양상추(일반),2025-07-07,WeekMean,1489.4026631948077
양상추(일반),2025-07-14,WeekMean,1691.5531187087133
양상추(일반),2025-07-21,WeekMean,1688.080288110359
양상추(일반),2025-07-28,WeekMean,1732.3467100286641
양송이(일반),2025-07-07,SeasonalNaive,5970.856457181916
양송이(일반),2025-07-14,SeasonalNaive,5273.845626434603
양송이(일반),2025-07-21,SeasonalNaive,5259.382894864543
양송이(일반),2025-07-28,SeasonalNaive,5714.426510923765
영양부추,2025-07-07,WeekMean,3513.1575973084355
영양부추,2025-07-14,WeekMean,3600.130716048584
영양부추,2025-07-21,WeekMean,3758.046362125824
영양부추,2025-07-28,WeekMean,5107.197445556151
오이맛고추,2025-07-07,WeekMean,2989.775873724541
오이맛고추,2025-07-14,WeekMean,2845.345986875339
오이맛고추,2025-07-21,WeekMean,2464.3359483682752
오이맛고추,2025-07-28,WeekMean,2218.3926973220864
완숙토마토,2025-07-07,HW-Mul,1577.0474392413935
완숙토마토,2025-07-14,HW-Mul,1709.4699801963143
완숙토마토,2025-07-21,HW-Mul,1624.324368294119
완숙토마토,2025-07-28,HW-Mul,1650.026774555294
자주양파,2025-07-07,WeekMean,806.619019493458
자주양파,2025-07-14,WeekMean,753.7798110436289
자주양파,2025-07-21,WeekMean,802.4323326133095
자주양파,2025-07-28,WeekMean,857.7426094669479
적채(일반),2025-07-07,WeekMean,913.7714276132547
적채(일반),2025-07-14,WeekMean,1005.4884932712487
적채(일반),2025-07-21,WeekMean,1157.1218746000015
적채(일반),2025-07-28,WeekMean,1365.7637631017096
쥬키니호박,2025-07-07,HW-Add,1014.3082561676348
쥬키니호박,2025-07-14,HW-Add,910.3534598726756
쥬키니호박,2025-07-21,HW-Add,1752.502590662405
쥬키니호박,2025-07-28,HW-Add,1334.8482804526477
쪽파(일반),2025-07-07,RollMean(4w),5753.896068875493
쪽파(일반),2025-07-14,RollMean(4w),5900.627581876653
쪽파(일반),2025-07-21,RollMean(4w),4711.605307664147
쪽파(일반),2025-07-28,RollMean(4w),4819.517315453087
청고추,2025-07-07,WeekMean,3229.0360769738177
청고추,2025-07-14,WeekMean,3307.009623507547
청고추,2025-07-21,WeekMean,3194.6333045317338
청고추,2025-07-28,WeekMean,2692.8354364794027
