품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합,주간_평균단가_차,금액_합_차,반입량_합_차
깐마늘_통합,2018,44,6,4808.842591159658,484206230.0,102398.0,0.0,0.0,0.0
깐마늘_통합,2018,45,6,4659.515654015228,574123400.0,123470.0,0.0,0.0,0.0
깐마늘_통합,2018,46,6,4675.288740307579,753513425.0,161177.0,0.0,0.0,0.0
깐마늘_통합,2018,47,6,4636.330639487985,642035275.0,138780.0,0.0,0.0,0.0
깐마늘_통합,2018,48,6,4527.040694908855,450128100.0,99215.0,0.0,0.0,0.0
깐마늘_통합,2018,49,6,4539.965017678441,428853150.0,94555.0,0.0,0.0,0.0
깐마늘_통합,2018,50,6,4618.953152344151,384723020.0,84158.0,0.0,0.0,0.0
깐마늘_통합,2018,51,6,4345.043720426038,391748650.0,90635.0,0.0,0.0,0.0
깐마늘_통합,2018,52,6,4433.257001882642,456322160.0,103067.0,0.0,0.0,0.0
깐마늘_통합,2019,1,5,3713.42879391473,402153880.0,109528.0,0.0,0.0,0.0
깐마늘_통합,2019,2,6,4164.531159486372,412392380.0,101061.0,0.0,0.0,0.0
깐마늘_통합,2019,3,6,4488.00463446099,404631900.0,90298.0,0.0,0.0,0.0
깐마늘_통합,2019,4,6,4141.048756061738,479083590.0,117555.0,0.0,0.0,0.0
깐마늘_통합,2019,5,6,4400.29685738524,533225450.0,121171.0,0.0,0.0,0.0
깐마늘_통합,2019,6,3,4165.5198570574885,224389700.0,57575.0,0.0,0.0,0.0
깐마늘_통합,2019,7,6,4273.292289110531,383744980.0,90027.0,0.0,0.0,0.0
깐마늘_통합,2019,8,6,4237.852974445329,446623580.0,107272.0,0.0,0.0,0.0
깐마늘_통합,2019,9,6,4217.149726938514,496034770.0,119230.0,0.0,0.0,0.0
깐마늘_통합,2019,10,6,4272.968328439117,431279800.0,101293.0,0.0,0.0,0.0
깐마늘_통합,2019,11,6,4358.816991548954,461057904.0,107760.0,0.0,0.0,0.0
깐마늘_통합,2019,12,6,4457.373055402341,443614800.0,100281.0,0.0,0.0,0.0
깐마늘_통합,2019,13,6,4329.842268605608,504243000.0,116066.0,0.0,0.0,0.0
깐마늘_통합,2019,14,6,4232.281187074409,391499580.0,92675.0,0.0,0.0,0.0
깐마늘_통합,2019,15,6,4163.837382079887,416712000.0,99996.0,0.0,0.0,0.0
깐마늘_통합,2019,16,6,4089.153088636157,384922800.0,94305.0,0.0,0.0,0.0
깐마늘_통합,2019,17,6,3977.015774854603,349243965.0,87925.0,0.0,0.0,0.0
깐마늘_통합,2019,18,6,3948.372598158141,379996990.0,96246.0,0.0,0.0,0.0
깐마늘_통합,2019,19,6,3953.981595430425,455508325.0,115086.0,0.0,0.0,0.0
깐마늘_통합,2019,20,6,3990.145173232164,328600000.0,82488.0,0.0,0.0,0.0
